from_station,to_station,datetime,skills,assigned_employee,hour,day_of_week
Station E,Station B,2024-05-15 21:47:48.563108,Skill 3,3,21,2
Station G,Station C,2024-05-12 21:07:48.563112,Skill 4,7,21,6
Station E,Station F,2024-05-17 23:18:48.563116,Skill 1,6,23,4
Station B,Station D,2024-05-28 12:04:48.563120,Skill 4,4,12,1
Station D,Station B,2024-06-01 10:41:48.563125,Skill 2,2,10,5
Station E,Station C,2024-05-25 01:06:48.563128,Skill 3,9,1,5
Station H,Station F,2024-06-08 09:48:48.563133,Skill 3,4,9,5
Station H,Station C,2024-05-24 16:30:48.563137,Skill 2,6,16,4
Station C,Station F,2024-06-02 17:51:48.563141,Skill 1,2,17,6
Station D,Station C,2024-05-28 00:32:48.563145,Skill 2,2,0,1
Station G,Station D,2024-05-29 17:59:48.563149,Skill 2,5,17,2
Station E,Station H,2024-05-24 15:55:48.563153,Skill 3,5,15,4
Station H,Station C,2024-05-31 15:25:48.563157,Skill 1,6,15,4
Station G,Station B,2024-05-26 13:12:48.563161,Skill 4,6,13,6
Station F,Station A,2024-06-03 10:47:48.563166,Skill 2,4,10,0
Station C,Station B,2024-05-19 23:07:48.563170,Skill 1,4,23,6
Station H,Station A,2024-05-16 11:39:48.563174,Skill 4,9,11,3
Station G,Station A,2024-05-23 02:10:48.563178,Skill 1,9,2,3
Station E,Station B,2024-05-28 12:26:48.563182,Skill 1,7,12,1
Station B,Station F,2024-05-31 06:19:48.563186,Skill 3,7,6,4
Station E,Station H,2024-05-21 07:56:48.563190,Skill 1,5,7,1
Station B,Station E,2024-06-02 16:31:48.563194,Skill 2,5,16,6
Station G,Station A,2024-05-17 16:09:48.563198,Skill 3,8,16,4
Station H,Station G,2024-05-13 02:06:48.563202,Skill 4,3,2,0
Station E,Station D,2024-05-31 07:27:48.563208,Skill 4,5,7,4
Station D,Station H,2024-05-30 07:41:48.563212,Skill 4,8,7,3
Station D,Station H,2024-05-09 19:02:48.563216,Skill 2,5,19,3
Station H,Station A,2024-06-02 03:37:48.563220,Skill 1,1,3,6
Station A,Station F,2024-05-25 05:56:48.563225,Skill 4,9,5,5
Station D,Station F,2024-05-16 20:38:48.563230,Skill 1,8,20,3
Station D,Station C,2024-05-24 05:11:48.563235,Skill 3,1,5,4
Station G,Station B,2024-06-02 02:24:48.563240,Skill 2,6,2,6
Station D,Station H,2024-05-23 02:29:48.563245,Skill 3,7,2,3
Station D,Station H,2024-06-04 04:04:48.563250,Skill 2,9,4,1
Station G,Station D,2024-05-25 01:46:48.563255,Skill 2,5,1,5
Station A,Station D,2024-05-29 07:45:48.563260,Skill 1,10,7,2
Station B,Station D,2024-05-14 20:11:48.563265,Skill 3,10,20,1
Station A,Station F,2024-06-03 01:29:48.563270,Skill 2,3,1,0
Station C,Station B,2024-06-06 10:19:48.563274,Skill 3,2,10,3
Station C,Station H,2024-06-04 18:47:48.563278,Skill 2,6,18,1
Station G,Station D,2024-05-21 07:47:48.563283,Skill 3,1,7,1
Station H,Station F,2024-05-09 10:16:48.563287,Skill 1,8,10,3
Station E,Station C,2024-06-04 13:50:48.563291,Skill 4,6,13,1
Station F,Station C,2024-05-11 17:50:48.563295,Skill 2,2,17,5
Station D,Station H,2024-05-19 14:19:48.563299,Skill 3,2,14,6
Station G,Station H,2024-05-22 14:42:48.563303,Skill 3,9,14,2
Station C,Station B,2024-06-08 11:29:48.563307,Skill 4,7,11,5
Station G,Station B,2024-05-11 08:24:48.563311,Skill 4,5,8,5
Station D,Station H,2024-05-24 23:44:48.563315,Skill 4,1,23,4
Station C,Station A,2024-05-24 15:32:48.563320,Skill 1,6,15,4
Station D,Station A,2024-05-20 22:16:48.563324,Skill 3,9,22,0
Station G,Station C,2024-06-03 13:32:48.563328,Skill 1,4,13,0
Station C,Station H,2024-05-30 20:48:48.563332,Skill 3,4,20,3
Station A,Station C,2024-05-10 07:58:48.563337,Skill 2,8,7,4
Station B,Station A,2024-05-25 21:03:48.563341,Skill 3,1,21,5
Station C,Station H,2024-05-29 05:01:48.563345,Skill 3,7,5,2
Station A,Station G,2024-06-08 23:27:48.563349,Skill 4,1,23,5
Station E,Station D,2024-06-05 00:46:48.563353,Skill 1,1,0,2
Station B,Station G,2024-05-26 21:01:48.563357,Skill 3,5,21,6
Station E,Station D,2024-05-15 16:51:48.563361,Skill 1,9,16,2
Station B,Station F,2024-05-22 01:56:48.563367,Skill 2,6,1,2
Station E,Station D,2024-06-03 17:17:48.563371,Skill 4,9,17,0
Station H,Station D,2024-05-16 15:59:48.563375,Skill 4,4,15,3
Station D,Station F,2024-05-27 19:20:48.563379,Skill 3,4,19,0
Station B,Station H,2024-05-27 22:56:48.563383,Skill 4,8,22,0
Station E,Station C,2024-06-06 06:27:48.563387,Skill 2,7,6,3
Station A,Station B,2024-05-09 15:04:48.563391,Skill 4,9,15,3
Station F,Station B,2024-06-04 00:49:48.563395,Skill 4,2,0,1
Station D,Station H,2024-05-29 18:10:48.563399,Skill 4,3,18,2
Station A,Station E,2024-05-22 18:51:48.563404,Skill 3,1,18,2
Station H,Station G,2024-05-30 20:07:48.563408,Skill 4,5,20,3
Station B,Station C,2024-05-27 04:14:48.563412,Skill 4,4,4,0
Station D,Station G,2024-05-22 03:40:48.563416,Skill 3,2,3,2
Station E,Station D,2024-05-24 12:21:48.563420,Skill 2,3,12,4
Station C,Station H,2024-05-24 15:06:48.563424,Skill 3,4,15,4
Station D,Station G,2024-06-03 21:04:48.563428,Skill 1,7,21,0
Station A,Station C,2024-06-04 04:19:48.563432,Skill 4,6,4,1
Station G,Station D,2024-05-20 04:03:48.563436,Skill 1,5,4,0
Station C,Station F,2024-05-14 21:38:48.563440,Skill 4,9,21,1
Station H,Station G,2024-05-28 17:20:48.563444,Skill 4,9,17,1
Station E,Station H,2024-05-11 17:18:48.563449,Skill 4,9,17,5
Station B,Station F,2024-05-30 04:08:48.563453,Skill 1,1,4,3
Station F,Station D,2024-06-03 03:36:48.563457,Skill 3,9,3,0
Station G,Station A,2024-06-07 08:13:48.563461,Skill 3,10,8,4
Station A,Station E,2024-05-29 03:48:48.563465,Skill 3,3,3,2
Station D,Station A,2024-06-04 02:19:48.563469,Skill 2,6,2,1
Station B,Station C,2024-05-13 11:22:48.563473,Skill 2,1,11,0
Station B,Station A,2024-05-23 12:48:48.563477,Skill 4,5,12,3
Station B,Station D,2024-06-05 06:52:48.563482,Skill 2,7,6,2
Station F,Station D,2024-05-19 19:38:48.563486,Skill 2,6,19,6
Station D,Station B,2024-05-28 22:38:48.563490,Skill 2,8,22,1
Station G,Station B,2024-05-15 06:49:48.563495,Skill 2,10,6,2
Station E,Station G,2024-05-10 16:06:48.563499,Skill 3,4,16,4
Station H,Station D,2024-06-02 03:01:48.563503,Skill 1,3,3,6
Station H,Station E,2024-05-24 19:39:48.563507,Skill 1,1,19,4
Station C,Station F,2024-06-03 21:19:48.563511,Skill 2,3,21,0
Station D,Station G,2024-05-29 09:08:48.563515,Skill 1,9,9,2
Station D,Station B,2024-05-29 19:08:48.563519,Skill 1,2,19,2
Station A,Station B,2024-06-07 04:54:48.563523,Skill 4,3,4,4
Station A,Station C,2024-05-09 21:17:48.563527,Skill 4,6,21,3
Station E,Station D,2024-05-15 06:46:48.563531,Skill 3,1,6,2
Station G,Station C,2024-05-09 07:40:48.563536,Skill 2,10,7,3
Station D,Station E,2024-05-11 08:02:48.563540,Skill 2,10,8,5
Station C,Station E,2024-05-18 05:07:48.563544,Skill 1,3,5,5
Station E,Station C,2024-05-11 22:22:48.563548,Skill 4,4,22,5
Station B,Station C,2024-05-25 20:19:48.563553,Skill 3,1,20,5
Station B,Station D,2024-05-11 00:44:48.563557,Skill 2,4,0,5
Station B,Station D,2024-05-31 09:36:48.563561,Skill 3,7,9,4
Station F,Station A,2024-05-19 23:15:48.563566,Skill 1,2,23,6
Station D,Station C,2024-05-23 11:55:48.563570,Skill 3,4,11,3
Station G,Station B,2024-05-29 08:16:48.563574,Skill 4,6,8,2
Station E,Station B,2024-05-30 11:47:48.563578,Skill 3,7,11,3
Station C,Station D,2024-05-13 02:46:48.563582,Skill 3,5,2,0
Station E,Station B,2024-05-09 07:51:48.563586,Skill 1,5,7,3
Station D,Station A,2024-05-10 17:15:48.563590,Skill 4,1,17,4
Station E,Station B,2024-05-30 09:56:48.563594,Skill 4,9,9,3
Station D,Station C,2024-06-06 04:41:48.563599,Skill 3,10,4,3
Station D,Station F,2024-05-09 15:04:48.563604,Skill 4,10,15,3
Station H,Station A,2024-05-11 07:41:48.563608,Skill 2,7,7,5
Station E,Station G,2024-05-28 13:47:48.563613,Skill 1,5,13,1
Station C,Station D,2024-06-04 17:05:48.563617,Skill 1,3,17,1
Station G,Station H,2024-05-25 01:54:48.563621,Skill 3,10,1,5
Station D,Station C,2024-05-17 17:58:48.563625,Skill 2,7,17,4
Station D,Station G,2024-05-25 20:23:48.563629,Skill 3,8,20,5
Station D,Station H,2024-06-04 17:28:48.563634,Skill 4,4,17,1
Station E,Station D,2024-05-29 15:30:48.563638,Skill 2,9,15,2
Station B,Station A,2024-05-26 04:58:48.563643,Skill 3,4,4,6
Station C,Station H,2024-05-22 01:28:48.563648,Skill 2,6,1,2
Station C,Station G,2024-06-05 18:50:48.563652,Skill 2,4,18,2
Station G,Station E,2024-05-31 19:45:48.563656,Skill 1,3,19,4
Station B,Station H,2024-05-17 19:13:48.563661,Skill 4,9,19,4
Station D,Station G,2024-05-26 04:57:48.563665,Skill 3,6,4,6
Station D,Station C,2024-06-02 05:59:48.563669,Skill 4,3,5,6
Station H,Station A,2024-05-16 10:20:48.563673,Skill 2,7,10,3
Station F,Station A,2024-05-14 04:32:48.563677,Skill 2,1,4,1
Station G,Station C,2024-06-08 22:55:48.563682,Skill 3,5,22,5
Station B,Station C,2024-05-21 14:50:48.563686,Skill 4,3,14,1
Station D,Station C,2024-05-21 14:49:48.563690,Skill 4,1,14,1
Station G,Station A,2024-05-21 03:19:48.563695,Skill 2,5,3,1
Station G,Station D,2024-06-06 03:15:48.563699,Skill 1,2,3,3
Station E,Station B,2024-06-04 15:59:48.563704,Skill 3,2,15,1
Station H,Station D,2024-05-28 10:35:48.563708,Skill 2,7,10,1
Station C,Station A,2024-05-19 14:30:48.563712,Skill 3,8,14,6
Station D,Station F,2024-06-03 08:06:48.563716,Skill 4,3,8,0
Station D,Station C,2024-05-25 13:03:48.563721,Skill 1,3,13,5
Station F,Station E,2024-05-20 17:45:48.563725,Skill 1,9,17,0
Station C,Station A,2024-05-16 19:13:48.563729,Skill 3,1,19,3
Station G,Station E,2024-05-24 13:03:48.563733,Skill 1,7,13,4
Station D,Station C,2024-06-05 11:23:48.563738,Skill 1,7,11,2
Station H,Station G,2024-05-17 16:47:48.563742,Skill 1,5,16,4
Station D,Station H,2024-05-09 12:45:48.563746,Skill 3,10,12,3
Station F,Station B,2024-06-03 07:04:48.563750,Skill 4,10,7,0
Station H,Station A,2024-06-01 08:21:48.563754,Skill 4,9,8,5
Station A,Station C,2024-05-29 00:04:48.563758,Skill 3,5,0,2
Station D,Station E,2024-05-16 18:27:48.563762,Skill 2,10,18,3
Station G,Station C,2024-05-20 23:33:48.563766,Skill 1,6,23,0
Station A,Station B,2024-06-03 21:53:48.563771,Skill 2,7,21,0
Station E,Station A,2024-06-09 00:47:48.563775,Skill 3,2,0,6
Station G,Station B,2024-05-26 16:08:48.563779,Skill 1,1,16,6
Station G,Station F,2024-06-06 01:50:48.563783,Skill 4,2,1,3
Station F,Station C,2024-05-18 10:54:48.563787,Skill 1,9,10,5
Station H,Station B,2024-05-26 02:17:48.563791,Skill 1,3,2,6
Station F,Station C,2024-05-18 17:27:48.563796,Skill 3,3,17,5
Station A,Station H,2024-05-28 21:31:48.563800,Skill 1,2,21,1
Station C,Station D,2024-05-15 21:17:48.563805,Skill 4,4,21,2
Station A,Station E,2024-05-31 21:45:48.563809,Skill 3,1,21,4
Station E,Station C,2024-05-23 17:57:48.563813,Skill 2,2,17,3
Station G,Station B,2024-06-04 07:52:48.563817,Skill 2,4,7,1
Station D,Station B,2024-06-05 17:02:48.563822,Skill 3,4,17,2
Station F,Station B,2024-06-04 18:27:48.563826,Skill 3,10,18,1
Station E,Station F,2024-06-08 17:33:48.563830,Skill 1,1,17,5
Station A,Station B,2024-06-04 17:05:48.563834,Skill 2,9,17,1
Station E,Station A,2024-05-31 16:46:48.563838,Skill 3,1,16,4
Station E,Station D,2024-06-06 20:37:48.563842,Skill 4,7,20,3
Station C,Station G,2024-06-07 02:00:48.563846,Skill 4,1,2,4
Station A,Station H,2024-06-02 23:45:48.563851,Skill 2,5,23,6
Station C,Station B,2024-06-01 22:44:48.563854,Skill 3,6,22,5
Station E,Station C,2024-05-26 21:32:48.563858,Skill 2,2,21,6
Station D,Station E,2024-05-16 08:16:48.563863,Skill 3,3,8,3
Station A,Station F,2024-06-07 21:03:48.563867,Skill 3,5,21,4
Station C,Station H,2024-05-10 08:06:48.563871,Skill 3,4,8,4
Station E,Station A,2024-05-26 22:11:48.563875,Skill 2,3,22,6
Station H,Station A,2024-05-17 12:06:48.563879,Skill 4,1,12,4
Station F,Station G,2024-05-10 03:25:48.563884,Skill 4,10,3,4
Station A,Station G,2024-05-27 12:43:48.563887,Skill 4,3,12,0
Station C,Station F,2024-05-16 18:45:48.563892,Skill 3,2,18,3
Station E,Station H,2024-05-25 15:41:48.563896,Skill 3,8,15,5
Station D,Station F,2024-06-01 22:02:48.563900,Skill 1,3,22,5
Station G,Station B,2024-05-14 18:20:48.563904,Skill 1,3,18,1
Station E,Station G,2024-06-04 05:53:48.563908,Skill 3,1,5,1
Station F,Station C,2024-05-28 05:40:48.563913,Skill 2,8,5,1
Station H,Station B,2024-05-29 04:01:48.563917,Skill 3,5,4,2
Station D,Station B,2024-06-08 06:54:48.563921,Skill 3,5,6,5
Station D,Station C,2024-05-28 21:21:48.563925,Skill 4,8,21,1
Station D,Station G,2024-05-13 08:05:48.563929,Skill 1,7,8,0
Station A,Station F,2024-06-06 16:20:48.563933,Skill 3,8,16,3
Station G,Station B,2024-06-04 23:31:48.563937,Skill 3,4,23,1
Station A,Station B,2024-06-07 22:56:48.563941,Skill 3,8,22,4
Station G,Station H,2024-06-02 21:30:48.563945,Skill 3,8,21,6
Station B,Station G,2024-05-21 12:34:48.563949,Skill 2,10,12,1
Station H,Station A,2024-05-20 04:46:48.563953,Skill 4,1,4,0
Station F,Station A,2024-05-15 21:49:48.563957,Skill 1,9,21,2
Station B,Station D,2024-06-06 05:55:48.563961,Skill 3,6,5,3
Station B,Station G,2024-06-06 15:01:48.563965,Skill 4,2,15,3
Station E,Station A,2024-05-09 13:19:48.563969,Skill 2,10,13,3
Station F,Station H,2024-06-02 04:21:48.563974,Skill 4,8,4,6
Station D,Station E,2024-05-21 23:43:48.563978,Skill 4,5,23,1
Station A,Station E,2024-05-11 23:54:48.563982,Skill 1,4,23,5
Station F,Station D,2024-05-21 12:06:48.563986,Skill 2,10,12,1
Station B,Station D,2024-05-10 09:20:48.563990,Skill 2,2,9,4
Station A,Station E,2024-05-10 03:03:48.563995,Skill 2,6,3,4
Station A,Station E,2024-06-07 11:27:48.563999,Skill 1,5,11,4
Station F,Station C,2024-06-05 00:13:48.564004,Skill 1,3,0,2
Station A,Station G,2024-05-22 07:09:48.564008,Skill 3,3,7,2
Station C,Station G,2024-06-06 10:04:48.564012,Skill 3,8,10,3
Station D,Station B,2024-05-18 01:41:48.564016,Skill 3,8,1,5
Station G,Station D,2024-05-11 22:04:48.564020,Skill 2,2,22,5
Station B,Station A,2024-05-25 03:59:48.564024,Skill 3,1,3,5
Station F,Station B,2024-06-08 22:05:48.564028,Skill 3,2,22,5
Station B,Station C,2024-05-14 02:05:48.564034,Skill 4,6,2,1
Station F,Station A,2024-05-25 18:48:48.564038,Skill 3,8,18,5
Station C,Station D,2024-05-28 06:58:48.564042,Skill 2,2,6,1
Station G,Station D,2024-06-03 02:44:48.564046,Skill 1,8,2,0
Station F,Station E,2024-06-04 21:17:48.564050,Skill 3,2,21,1
Station F,Station H,2024-05-19 09:51:48.564054,Skill 2,5,9,6
Station A,Station D,2024-05-28 02:35:48.564058,Skill 3,1,2,1
Station A,Station B,2024-05-17 22:57:48.564063,Skill 2,4,22,4
Station G,Station F,2024-05-31 19:36:48.564067,Skill 1,8,19,4
Station A,Station C,2024-05-11 06:08:48.564072,Skill 1,5,6,5
Station F,Station D,2024-05-18 04:05:48.564076,Skill 1,2,4,5
Station E,Station D,2024-05-15 23:51:48.564080,Skill 2,4,23,2
Station A,Station D,2024-05-24 05:37:48.564084,Skill 4,4,5,4
Station G,Station D,2024-05-27 07:16:48.564088,Skill 3,7,7,0
Station E,Station D,2024-05-20 14:04:48.564093,Skill 4,5,14,0
Station F,Station C,2024-05-31 23:24:48.564097,Skill 1,3,23,4
Station F,Station D,2024-06-02 16:33:48.564101,Skill 1,9,16,6
Station D,Station H,2024-05-17 13:08:48.564105,Skill 3,5,13,4
Station D,Station E,2024-06-04 21:35:48.564110,Skill 2,6,21,1
Station B,Station E,2024-06-05 22:57:48.564114,Skill 4,8,22,2
Station B,Station C,2024-05-15 01:09:48.564118,Skill 4,3,1,2
Station D,Station C,2024-05-15 19:49:48.564122,Skill 1,5,19,2
Station E,Station A,2024-05-18 02:37:48.564126,Skill 2,1,2,5
Station D,Station F,2024-05-23 13:27:48.564130,Skill 2,8,13,3
Station A,Station E,2024-05-30 15:01:48.564135,Skill 3,9,15,3
Station F,Station E,2024-06-05 02:37:48.564139,Skill 4,2,2,2
Station D,Station A,2024-05-30 14:50:48.564143,Skill 4,8,14,3
Station G,Station H,2024-05-22 14:53:48.564147,Skill 4,9,14,2
Station B,Station A,2024-05-13 06:32:48.564151,Skill 2,9,6,0
Station A,Station D,2024-05-21 02:45:48.564155,Skill 3,1,2,1
Station G,Station D,2024-06-06 18:57:48.564160,Skill 3,2,18,3
Station H,Station D,2024-05-16 22:50:48.564164,Skill 2,3,22,3
Station F,Station E,2024-05-26 19:57:48.564168,Skill 1,7,19,6
Station A,Station H,2024-05-15 14:42:48.564172,Skill 4,8,14,2
Station G,Station F,2024-05-14 22:00:48.564177,Skill 1,2,22,1
Station C,Station F,2024-05-21 08:39:48.564181,Skill 1,4,8,1
Station B,Station H,2024-06-02 04:36:48.564185,Skill 1,9,4,6
Station G,Station A,2024-05-26 01:22:48.564189,Skill 2,4,1,6
Station E,Station F,2024-05-18 18:13:48.564193,Skill 2,10,18,5
Station G,Station D,2024-05-11 08:45:48.564197,Skill 4,6,8,5
Station H,Station G,2024-05-14 16:11:48.564201,Skill 3,9,16,1
Station C,Station B,2024-05-17 03:50:48.564206,Skill 4,1,3,4
Station C,Station E,2024-05-15 09:55:48.564210,Skill 2,3,9,2
Station C,Station A,2024-06-04 06:34:48.564214,Skill 4,6,6,1
Station B,Station G,2024-05-14 21:22:48.564219,Skill 1,6,21,1
Station F,Station E,2024-05-09 16:08:48.564223,Skill 3,3,16,3
Station G,Station E,2024-05-17 20:17:48.564227,Skill 1,5,20,4
Station A,Station H,2024-05-20 10:56:48.564231,Skill 4,8,10,0
Station G,Station C,2024-05-18 06:01:48.564235,Skill 2,1,6,5
Station G,Station A,2024-05-21 06:45:48.564239,Skill 4,6,6,1
Station F,Station H,2024-06-09 00:20:48.564243,Skill 1,10,0,6
Station A,Station H,2024-05-23 05:47:48.564247,Skill 2,2,5,3
Station D,Station A,2024-05-27 03:06:48.564251,Skill 2,2,3,0
Station H,Station B,2024-05-17 00:16:48.564255,Skill 1,9,0,4
Station D,Station C,2024-05-22 02:27:48.564259,Skill 1,3,2,2
Station D,Station F,2024-06-03 01:38:48.564263,Skill 1,8,1,0
Station A,Station G,2024-06-08 17:56:48.564267,Skill 4,9,17,5
Station G,Station B,2024-05-10 13:14:48.564272,Skill 1,7,13,4
Station H,Station G,2024-05-17 15:01:48.564276,Skill 1,8,15,4
Station E,Station D,2024-05-22 01:07:48.564280,Skill 1,8,1,2
Station E,Station D,2024-05-29 01:24:48.564284,Skill 4,1,1,2
Station F,Station A,2024-06-02 12:31:48.564288,Skill 3,1,12,6
Station G,Station B,2024-06-03 22:18:48.564292,Skill 2,7,22,0
Station D,Station A,2024-05-25 20:13:48.564296,Skill 2,2,20,5
Station F,Station G,2024-06-02 08:48:48.564301,Skill 4,7,8,6
Station B,Station E,2024-05-18 07:43:48.564305,Skill 2,5,7,5
Station E,Station D,2024-05-10 16:49:48.564309,Skill 4,4,16,4
Station C,Station E,2024-05-30 12:40:48.564314,Skill 4,1,12,3
Station B,Station A,2024-05-19 18:02:48.564318,Skill 2,1,18,6
Station D,Station H,2024-05-10 17:12:48.564322,Skill 3,10,17,4
Station H,Station G,2024-05-20 03:48:48.564326,Skill 1,1,3,0
Station C,Station G,2024-06-08 05:29:48.564331,Skill 3,2,5,5
Station H,Station A,2024-05-16 06:59:48.564335,Skill 1,3,6,3
Station F,Station H,2024-06-01 09:26:48.564339,Skill 3,5,9,5
Station B,Station G,2024-05-31 07:31:48.564343,Skill 2,9,7,4
Station G,Station D,2024-06-07 05:01:48.564370,Skill 3,6,5,4
Station F,Station D,2024-05-18 15:59:48.564374,Skill 2,10,15,5
Station F,Station H,2024-05-13 22:00:48.564378,Skill 1,8,22,0
Station G,Station C,2024-05-17 01:19:48.564382,Skill 2,9,1,4
Station A,Station D,2024-05-20 19:45:48.564386,Skill 2,5,19,0
Station G,Station D,2024-05-10 07:30:48.564390,Skill 4,7,7,4
Station A,Station G,2024-06-08 08:08:48.564394,Skill 4,2,8,5
Station C,Station E,2024-05-18 21:10:48.564399,Skill 4,9,21,5
Station D,Station A,2024-05-22 16:20:48.564403,Skill 3,5,16,2
Station E,Station G,2024-05-22 19:53:48.564407,Skill 4,3,19,2
Station B,Station A,2024-05-19 02:32:48.564411,Skill 1,6,2,6
Station F,Station G,2024-05-31 13:12:48.564415,Skill 2,5,13,4
Station E,Station B,2024-05-30 14:17:48.564419,Skill 1,7,14,3
Station H,Station D,2024-05-09 14:02:48.564423,Skill 3,6,14,3
Station B,Station A,2024-05-27 09:11:48.564427,Skill 4,1,9,0
Station A,Station H,2024-05-27 03:16:48.564432,Skill 4,1,3,0
Station C,Station E,2024-05-19 12:30:48.564436,Skill 3,5,12,6
Station D,Station E,2024-06-05 01:35:48.564440,Skill 2,9,1,2
Station H,Station B,2024-05-18 03:01:48.564444,Skill 1,2,3,5
Station G,Station F,2024-05-24 11:38:48.564448,Skill 3,1,11,4
Station B,Station A,2024-05-13 06:49:48.564452,Skill 4,9,6,0
Station F,Station C,2024-05-15 11:37:48.564457,Skill 1,6,11,2
Station A,Station E,2024-06-08 08:15:48.564461,Skill 1,1,8,5
Station A,Station F,2024-05-11 02:53:48.564465,Skill 4,9,2,5
Station F,Station B,2024-06-03 05:05:48.564469,Skill 4,6,5,0
Station C,Station E,2024-05-15 17:21:48.564473,Skill 3,6,17,2
Station E,Station B,2024-06-01 13:48:48.564477,Skill 3,3,13,5
Station G,Station C,2024-05-16 16:33:48.564481,Skill 2,10,16,3
Station A,Station G,2024-05-28 21:53:48.564485,Skill 1,7,21,1
Station D,Station A,2024-05-23 07:38:48.564489,Skill 4,4,7,3
Station H,Station C,2024-05-18 16:11:48.564494,Skill 3,8,16,5
Station C,Station D,2024-06-01 01:48:48.564498,Skill 3,2,1,5
Station D,Station F,2024-05-29 17:38:48.564502,Skill 3,1,17,2
Station F,Station D,2024-06-04 07:46:48.564505,Skill 3,3,7,1
Station H,Station F,2024-05-28 21:28:48.564510,Skill 1,2,21,1
Station D,Station C,2024-05-31 13:59:48.564514,Skill 3,3,13,4
Station A,Station C,2024-06-01 11:23:48.564518,Skill 1,7,11,5
Station H,Station A,2024-06-05 09:18:48.564522,Skill 4,2,9,2
Station C,Station E,2024-05-14 04:37:48.564527,Skill 2,10,4,1
Station F,Station G,2024-06-03 17:50:48.564531,Skill 2,6,17,0
Station G,Station B,2024-05-16 17:12:48.564535,Skill 3,10,17,3
Station H,Station A,2024-05-14 01:48:48.564539,Skill 4,7,1,1
Station E,Station A,2024-05-17 13:50:48.564543,Skill 3,2,13,4
Station G,Station C,2024-06-05 22:42:48.564547,Skill 3,9,22,2
Station B,Station F,2024-06-06 11:20:48.564552,Skill 3,6,11,3
Station G,Station E,2024-05-26 19:22:48.564557,Skill 2,9,19,6
Station D,Station E,2024-06-02 05:43:48.564562,Skill 1,2,5,6
Station B,Station C,2024-05-18 00:39:48.564566,Skill 3,5,0,5
Station H,Station C,2024-06-04 22:22:48.564570,Skill 2,5,22,1
Station H,Station F,2024-06-03 20:08:48.564574,Skill 3,6,20,0
Station A,Station B,2024-05-20 02:53:48.564579,Skill 3,6,2,0
Station H,Station G,2024-05-28 11:07:48.564583,Skill 2,8,11,1
Station C,Station A,2024-05-12 06:03:48.564587,Skill 2,5,6,6
Station D,Station A,2024-05-16 03:03:48.564591,Skill 4,4,3,3
Station E,Station H,2024-05-10 05:26:48.564595,Skill 4,5,5,4
Station H,Station D,2024-06-07 11:59:48.564600,Skill 4,4,11,4
Station F,Station G,2024-05-29 02:10:48.564604,Skill 3,4,2,2
Station C,Station B,2024-06-02 10:10:48.564608,Skill 1,7,10,6
Station H,Station D,2024-05-28 13:37:48.564611,Skill 3,7,13,1
Station G,Station E,2024-05-09 16:50:48.564616,Skill 3,2,16,3
Station H,Station B,2024-06-06 05:31:48.564620,Skill 4,3,5,3
Station B,Station C,2024-05-11 01:20:48.564624,Skill 2,4,1,5
Station H,Station E,2024-05-20 22:55:48.564628,Skill 4,9,22,0
Station E,Station D,2024-05-26 15:12:48.564632,Skill 4,8,15,6
Station F,Station E,2024-05-22 21:54:48.564636,Skill 3,7,21,2
Station B,Station G,2024-05-16 06:24:48.564640,Skill 2,7,6,3
Station E,Station C,2024-06-07 07:28:48.564644,Skill 2,1,7,4
Station H,Station A,2024-05-23 10:46:48.564648,Skill 4,1,10,3
Station F,Station D,2024-06-04 14:07:48.564652,Skill 3,8,14,1
Station C,Station A,2024-05-16 10:39:48.564656,Skill 3,2,10,3
Station H,Station C,2024-05-17 07:09:48.564660,Skill 4,5,7,4
Station G,Station E,2024-05-31 10:55:48.564664,Skill 2,4,10,4
Station B,Station C,2024-05-28 19:57:48.564669,Skill 1,7,19,1
Station C,Station G,2024-05-12 09:43:48.564673,Skill 1,10,9,6
Station F,Station D,2024-06-01 17:25:48.564677,Skill 1,1,17,5
Station B,Station G,2024-06-05 06:17:48.564681,Skill 2,1,6,2
Station B,Station F,2024-06-04 04:35:48.564686,Skill 4,1,4,1
Station C,Station D,2024-05-10 13:03:48.564690,Skill 4,9,13,4
Station H,Station B,2024-05-18 06:23:48.564694,Skill 4,4,6,5
Station F,Station G,2024-06-03 06:05:48.564698,Skill 3,1,6,0
Station B,Station C,2024-06-06 00:44:48.564702,Skill 3,7,0,3
Station D,Station H,2024-05-11 23:20:48.564706,Skill 1,7,23,5
Station H,Station F,2024-05-29 01:51:48.564710,Skill 4,10,1,2
Station A,Station C,2024-05-11 21:24:48.564714,Skill 4,2,21,5
Station H,Station E,2024-05-16 10:34:48.564718,Skill 2,3,10,3
Station D,Station H,2024-05-12 12:10:48.564722,Skill 1,10,12,6
Station A,Station D,2024-05-30 10:18:48.564726,Skill 1,3,10,3
Station G,Station C,2024-05-26 05:56:48.564730,Skill 4,2,5,6
Station F,Station B,2024-05-30 10:17:48.564734,Skill 4,5,10,3
Station C,Station D,2024-05-27 03:15:48.564738,Skill 1,8,3,0
Station F,Station D,2024-05-21 00:34:48.564742,Skill 1,10,0,1
Station C,Station F,2024-05-22 15:52:48.564746,Skill 3,2,15,2
Station E,Station A,2024-05-14 12:27:48.564750,Skill 2,1,12,1
Station F,Station H,2024-05-12 23:01:48.564754,Skill 1,2,23,6
